idna_subject,checker_type,destination,source,tested_at
included_at_epoch,AVAILABILITY,8022888.com,/home/travis/build/PyFunceble/ci_test/8022888.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:22,AVAILABILITY,8022888.com,/home/travis/build/PyFunceble/ci_test/8022888.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,8022888.com,/home/travis/build/PyFunceble/ci_test/8022888.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:24,AVAILABILITY,8022888.com,/home/travis/build/PyFunceble/ci_test/8022888.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,8022888.com,/home/travis/build/PyFunceble/ci_test/8022888.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,8030888.com,/home/travis/build/PyFunceble/ci_test/8030888.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:22,AVAILABILITY,8030888.com,/home/travis/build/PyFunceble/ci_test/8030888.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,8030888.com,/home/travis/build/PyFunceble/ci_test/8030888.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:24,AVAILABILITY,8030888.com,/home/travis/build/PyFunceble/ci_test/8030888.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,8030888.com,/home/travis/build/PyFunceble/ci_test/8030888.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,8050888.com,/home/travis/build/PyFunceble/ci_test/8050888.com,2020-12-22T23:46:26.979058
