idna_subject,checker_type,destination,source,tested_at
included_at_iso: 2020-12-19T21:21,AVAILABILITY,304br.net,/home/travis/build/PyFunceble/ci_test/304br.net,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,304br.net,/home/travis/build/PyFunceble/ci_test/304br.net,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,304br.net,/home/travis/build/PyFunceble/ci_test/304br.net,2020-12-22T23:46:26.979058
status,AVAILABILITY,304br.net,/home/travis/build/PyFunceble/ci_test/304br.net,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,305br.net,/home/travis/build/PyFunceble/ci_test/305br.net,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,305br.net,/home/travis/build/PyFunceble/ci_test/305br.net,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,305br.net,/home/travis/build/PyFunceble/ci_test/305br.net,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,305br.net,/home/travis/build/PyFunceble/ci_test/305br.net,2020-12-22T23:46:26.979058
status,AVAILABILITY,305br.net,/home/travis/build/PyFunceble/ci_test/305br.net,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,306br.net,/home/travis/build/PyFunceble/ci_test/306br.net,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,306br.net,/home/travis/build/PyFunceble/ci_test/306br.net,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,306br.net,/home/travis/build/PyFunceble/ci_test/306br.net,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,306br.net,/home/travis/build/PyFunceble/ci_test/306br.net,2020-12-22T23:46:26.979058
status,AVAILABILITY,306br.net,/home/travis/build/PyFunceble/ci_test/306br.net,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,307br.net,/home/travis/build/PyFunceble/ci_test/307br.net,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,307br.net,/home/travis/build/PyFunceble/ci_test/307br.net,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,307br.net,/home/travis/build/PyFunceble/ci_test/307br.net,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,307br.net,/home/travis/build/PyFunceble/ci_test/307br.net,2020-12-22T23:46:26.979058
status,AVAILABILITY,307br.net,/home/travis/build/PyFunceble/ci_test/307br.net,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,308br.net,/home/travis/build/PyFunceble/ci_test/308br.net,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,308br.net,/home/travis/build/PyFunceble/ci_test/308br.net,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,308br.net,/home/travis/build/PyFunceble/ci_test/308br.net,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,308br.net,/home/travis/build/PyFunceble/ci_test/308br.net,2020-12-22T23:46:26.979058
status,AVAILABILITY,308br.net,/home/travis/build/PyFunceble/ci_test/308br.net,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,309br.net,/home/travis/build/PyFunceble/ci_test/309br.net,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,309br.net,/home/travis/build/PyFunceble/ci_test/309br.net,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,309br.net,/home/travis/build/PyFunceble/ci_test/309br.net,2020-12-22T23:46:26.979058
